IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.189.102,8443,8443,true,HKG,Asia Pacific,Hong Kong,73,10.28
47.238.131.39,2083,2083,true,HKG,Asia Pacific,Hong Kong,70,8.15
47.76.192.24,2053,2053,true,HKG,Asia Pacific,Hong Kong,73,7.56
47.76.189.102,2087,2087,true,HKG,Asia Pacific,Hong Kong,68,6.58
47.76.227.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,71,5.40
47.76.227.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,72,5.37
47.76.225.255,80,80,false,HKG,Asia Pacific,Hong Kong,71,5.14
47.76.213.245,2053,2053,true,HKG,Asia Pacific,Hong Kong,73,4.98
47.76.222.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,75,4.81
47.76.227.128,2083,2083,true,HKG,Asia Pacific,Hong Kong,78,4.73
47.238.0.114,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,4.40
47.238.0.114,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,4.33
47.76.227.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,72,3.87
47.76.192.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,80,3.84
47.76.222.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,78,3.70
47.76.227.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,75,3.43
47.238.131.39,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,3.40
47.76.192.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,76,3.23
47.76.213.245,2096,2096,true,HKG,Asia Pacific,Hong Kong,73,3.11
47.76.222.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,76,3.01
47.76.29.115,2096,2096,true,HKG,Asia Pacific,Hong Kong,73,2.90
47.76.29.115,8443,8443,true,HKG,Asia Pacific,Hong Kong,72,2.73
47.238.131.39,2087,2087,true,HKG,Asia Pacific,Hong Kong,74,2.50
47.76.225.255,2087,2087,true,HKG,Asia Pacific,Hong Kong,77,2.37
47.76.221.85,443,443,true,HKG,Asia Pacific,Hong Kong,75,2.31
47.238.35.50,8443,8443,true,HKG,Asia Pacific,Hong Kong,80,2.28
43.154.96.33,443,443,true,HKG,Asia Pacific,Hong Kong,69,2.26
47.238.5.0,2096,2096,true,HKG,Asia Pacific,Hong Kong,73,2.17
47.76.29.115,2083,2083,true,HKG,Asia Pacific,Hong Kong,72,1.89
47.76.29.115,2053,2053,true,HKG,Asia Pacific,Hong Kong,69,1.47
47.76.233.67,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,0.92
47.76.204.76,8443,8443,true,HKG,Asia Pacific,Hong Kong,73,0.89
47.76.33.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,80,0.83
47.76.178.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,72,0.70
47.76.146.1,2096,0,true,HKG,Asia Pacific,Hong Kong,75,0.63
47.76.146.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,76,0.61
47.76.204.76,8880,8880,false,HKG,Asia Pacific,Hong Kong,75,0.42
47.238.40.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,0.34
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,68,0.17
154.88.31.91,30000,443,true,HKG,Asia Pacific,Hong Kong,74,0.16
47.76.33.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,76,0.15
47.76.33.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,80,0.12
103.44.255.81,443,443,true,HKG,Asia Pacific,Hong Kong,47,0.08
45.207.11.69,8899,443,true,HKG,Asia Pacific,Hong Kong,67,0.06
38.181.35.164,36350,443,true,HKG,Asia Pacific,Hong Kong,76,0.04
38.181.35.164,12772,443,true,HKG,Asia Pacific,Hong Kong,66,0.02
47.242.54.157,8880,8880,false,HKG,Asia Pacific,Hong Kong,68,0.00
43.128.26.74,443,443,true,HKG,Asia Pacific,Hong Kong,66,0.00
47.76.203.101,2087,2087,true,HKG,Asia Pacific,Hong Kong,70,0.00
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,74,0.00
103.220.72.40,443,443,true,HKG,Asia Pacific,Hong Kong,71,0.00
47.76.233.67,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,0.00
119.28.22.113,443,80,false,HKG,Asia Pacific,Hong Kong,71,0.00
47.76.178.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,78,0.00
103.117.101.24,30809,80,false,HKG,Asia Pacific,Hong Kong,68,0.00
43.155.28.244,443,443,true,HKG,Asia Pacific,Hong Kong,70,0.00
120.220.19.103,2082,2082,false,HKG,Asia Pacific,Hong Kong,63,0.00
43.154.230.30,443,443,true,HKG,Asia Pacific,Hong Kong,74,0.00
120.220.19.103,2052,2052,false,HKG,Asia Pacific,Hong Kong,65,0.00
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,71,0.00
